# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/swid+cbor	swid+cbor
application/swid+xml	swid+xml
application/syslog-msg	syslog-msg
application/tamp-apex-update	tamp-apex-update
application/tamp-apex-update-confirm	tamp-apex-update-confirm
application/tamp-community-update	tamp-community-update
application/tamp-community-update-confirm	tamp-community-update-confirm
application/tamp-error	tamp-error
application/tamp-sequence-adjust	tamp-sequence-adjust
application/tamp-sequence-adjust-confirm	tamp-sequence-adjust-confirm
application/tamp-status-query	tamp-status-query
application/tamp-status-response	tamp-status-response
application/tamp-update	tamp-update
application/tamp-update-confirm	tamp-update-confirm
application/taxii+json	taxii+json
application/td+json	td+json
application/teep+cbor	teep+cbor
application/tei+xml	tei teicorpus
application/TETRA_ISI	tetra_isi
application/texinfo	x-iana-texinfo
application/thraud+xml	tfi
application/timestamp-query	timestamp-query
application/timestamp-reply	timestamp-reply
application/timestamped-data	tsd
application/tlsrpt+gzip	tlsrpt+gzip
application/tlsrpt+json	tlsrpt+json
application/tm+json	tm+json
application/tnauthlist	tnauthlist
application/toc+cbor	toc+cbor
application/token-introspection+jwt	token-introspection+jwt
application/toml	toml
application/trickle-ice-sdpfrag	trickle-ice-sdpfrag
application/trig	trig
application/trust-chain+json	trust-chain+json
application/trust-mark+jwt	trust-mark+jwt
application/trust-mark-delegation+jwt	trust-mark-delegation+jwt
application/trust-mark-status-response+jwt	trust-mark-status-response+jwt
application/ttml+xml	ttml+xml
application/tve-trigger	tve-trigger
application/tzif	tzif
application/tzif-leap	tzif-leap
application/uccs+cbor	uccs+cbor
application/ujcs+json	ujcs+json
application/ulpfec	ulpfec
application/urc-grpsheet+xml	urc-grpsheet+xml
application/urc-ressheet+xml	urc-ressheet+xml
application/urc-targetdesc+xml	urc-targetdesc+xml
application/urc-uisocketdesc+xml	urc-uisocketdesc+xml
application/v3c	v3c
application/vc	vc
application/vc+cose	vc+cose
application/vc+jwt	vc+jwt
application/vc+sd-jwt	vc+sd-jwt
application/vcard+json	vcard+json
application/vcard+xml	vcard+xml
application/vec+xml	vec+xml
application/vec-package+gzip	vec-package+gzip
application/vec-package+zip	vec-package+zip
application/vemmi	vemmi
application/vnd.1000minds.decision-model+xml	vnd.1000minds.decision-model+xml
application/vnd.1ob	vnd.1ob
application/vnd.3gpp-prose+xml	vnd.3gpp-prose+xml
application/vnd.3gpp-prose-pc3a+xml	vnd.3gpp-prose-pc3a+xml
application/vnd.3gpp-prose-pc3ach+xml	vnd.3gpp-prose-pc3ach+xml
application/vnd.3gpp-prose-pc3ch+xml	vnd.3gpp-prose-pc3ch+xml
application/vnd.3gpp-prose-pc8+xml	vnd.3gpp-prose-pc8+xml
application/vnd.3gpp-v2x-local-service-information	vnd.3gpp-v2x-local-service-information
